"As Of Date","Time Series","Value (millions)"
"2024-03-27","PDPOSTIPS-G2","5260"
"2024-03-27","PDPOSTIPS-G6L11","3362"
"2024-03-27","PDPOSTIPS-L2","11713"
"2024-04-03","PDPOSTIPS-G11","281"
"2024-04-03","PDPOSTIPS-G2","4482"
"2024-04-03","PDPOSTIPS-G6L11","3752"
"2024-04-03","PDPOSTIPS-L2","10394"
"2024-04-10","PDPOSTIPS-G11","465"
"2024-04-10","PDPOSTIPS-G2","4982"
"2024-04-10","PDPOSTIPS-G6L11","2383"
"2024-04-10","PDPOSTIPS-L2","11630"
"2024-04-17","PDPOSTIPS-G11","253"
"2024-04-17","PDPOSTIPS-G2","5411"
"2024-04-17","PDPOSTIPS-G6L11","3805"
"2024-04-17","PDPOSTIPS-L2","9852"
"2024-04-24","PDPOSTIPS-G11","-26"
"2024-04-24","PDPOSTIPS-G2","5532"
"2024-04-24","PDPOSTIPS-G6L11","4680"
"2024-04-24","PDPOSTIPS-L2","11124"
"2024-05-01","PDPOSTIPS-G11","405"
"2024-05-01","PDPOSTIPS-G2","4584"
"2024-05-01","PDPOSTIPS-G6L11","3274"
"2024-05-01","PDPOSTIPS-L2","14124"
"2024-05-08","PDPOSTIPS-G11","329"
"2024-05-08","PDPOSTIPS-G2","3756"
"2024-05-08","PDPOSTIPS-G6L11","3995"
"2024-05-08","PDPOSTIPS-L2","14669"
"2024-05-15","PDPOSTIPS-G11","544"
"2024-05-15","PDPOSTIPS-G2","4284"
"2024-05-15","PDPOSTIPS-G6L11","3185"
"2024-05-15","PDPOSTIPS-L2","16846"
"2024-05-22","PDPOSTIPS-G11","401"
"2024-05-22","PDPOSTIPS-G2","3753"
"2024-05-22","PDPOSTIPS-G6L11","3220"
"2024-05-22","PDPOSTIPS-L2","15636"
"2024-05-29","PDPOSTIPS-G11","155"
"2024-05-29","PDPOSTIPS-G2","3789"
"2024-05-29","PDPOSTIPS-G6L11","3514"
"2024-05-29","PDPOSTIPS-L2","15165"
"2024-06-05","PDPOSTIPS-G11","616"
"2024-06-05","PDPOSTIPS-G2","5039"
"2024-06-05","PDPOSTIPS-G6L11","3139"
"2024-06-05","PDPOSTIPS-L2","15795"
"2024-06-12","PDPOSTIPS-G11","645"
"2024-06-12","PDPOSTIPS-G2","6966"
"2024-06-12","PDPOSTIPS-G6L11","3320"
"2024-06-12","PDPOSTIPS-L2","13344"
"2024-06-19","PDPOSTIPS-G11","683"
"2024-06-19","PDPOSTIPS-G2","6887"
"2024-06-19","PDPOSTIPS-G6L11","2348"
"2024-06-19","PDPOSTIPS-L2","12509"
"2024-06-26","PDPOSTIPS-G11","248"
"2024-06-26","PDPOSTIPS-G2","5566"
"2024-06-26","PDPOSTIPS-G6L11","2443"
"2024-06-26","PDPOSTIPS-L2","12661"
